LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID177528,177528,0,2904.540771484375,70.39142984057077,94.05827097836955,0.0,0.0,0,1.5,1,,2570.904761904762,2384.0,1350.0,4162.0,53989.0,868.3860261866207,2980.5238095238096,2724.0,1310.0,4975.0,62591.0,1062.6974931299883,0.3021674048123683,1.3739912042853932,0.3085009917083254,1.3224992773129252
ID177531,177531,0,4296.0478515625,70.3993523021267,94.0180036333399,0.0,1.0,1,1.5,1,,3694.5714285714284,3465.0,1882.0,6128.0,77586.0,1295.6992927152723,2958.5238095238096,2723.0,1334.0,4776.0,62129.0,1044.0563499662082,0.3069124307525156,1.339238208862184,0.30523794767829665,1.325348095706598
ID177527,177527,0,3440.816650390625,70.42141072755692,94.04700570570701,0.0,2.0,2,1.5,1,,2935.5238095238096,2718.0,1503.0,4912.0,61646.0,1036.5967209598734,2966.285714285714,2676.0,1336.0,4921.0,62292.0,1073.2241211814587,0.3052400903034907,1.3245151826900712,0.31250543216314663,1.31616098297411
ID177530,177530,1,3723.83203125,64.48760563534867,101.21561806767009,0.0,6.0,6,1.5,1,,3226.5714285714284,3033.0,1489.0,5371.0,67758.0,1199.734161030208,1350.4761904761904,1239.0,291.0,2818.0,28360.0,812.8185910181692,0.30114929285364517,1.2449186470516962,0.2332646615969168,0.6285154562952509
ID177529,177529,1,4221.63134765625,64.50505753290282,101.23165627960492,0.0,7.0,7,1.5,1,,3679.3333333333335,3468.0,1722.0,6085.0,77266.0,1363.515945390201,1499.3333333333333,1433.0,498.0,2813.0,31486.0,696.0993703009171,0.30265492693577006,1.253883742225845,0.30167949976745384,0.9983864662537458
ID177532,177532,1,801.0822143554688,64.4868297076643,101.27427922605445,0.0,8.0,8,1.5,1,,774.4761904761905,744.0,388.0,1234.0,16264.0,260.53245844762205,1336.857142857143,1138.0,275.0,2930.0,28074.0,816.7974832058609,0.263039363199534,1.238169459788006,0.2309311234975912,0.6141144569745457
ID177536,177536,,1536.665283203125,76.5753201739985,81.50745892999035,0.0,10.0,10,1.5,1,,1430.0,1557.0,616.0,2319.0,30030.0,538.6690078331962,1861.3809523809523,1659.0,314.0,4052.0,39089.0,1085.6968949108436,0.28031720146449873,1.1624551669445096,0.07676892192950133,0.244466635126982
